date,temperaturemin,temperaturemax,precipitation,snow,snwd,awnd
1/12/17,54,73,0,0,0,12.53
3/31/17,58,79,0.42,0,0,10.74
5/16/17,57,87,0,0,0,3.58
6/24/17,71,91,0.46,0,0,7.83
7/1/17,73,90,0,0,0,9.17
7/3/17,70,93,0.15,0,0,2.91
7/24/17,71,93,0,0,0,7.16
7/31/17,58,87,0,0,0,4.47
8/5/17,68,92,0,0,0,6.49
11/12/17,28,49,0.03,0,0,1.57
11/21/17,30,64,0,0,0,2.91
11/27/17,26,61,0,0,0,1.34
12/9/17,32,34,0.3,0,0,5.82
12/24/17,43,61,0,0,0,7.38
1/16/18,20,47,0,0,0,1.79
3/6/18,32,42,0.45,0,0,4.47
3/16/18,39,68,0,0,0,5.82
4/5/18,34,61,0,0,0,3.58
5/10/18,59,87,0.18,0,0,9.17
6/4/18,64,85,0,0,0,5.59
6/19/18,73,96,0,0,0,5.59
7/12/18,72,87,0.01,0,0,7.61
9/12/18,72,88,0.13,0,0,5.14
10/28/18,42,64,0,0,0,8.5
10/31/18,42,72,0,0,0,8.5
11/30/18,42,68,0.02,0,0,8.72
12/24/18,29,51,0,0,0,4.03
12/27/18,29,54,0.02,0,0,5.14
2/28/19,42,62,0,0,0,5.82
3/27/19,30,57,0,0,0,6.93
4/22/19,43,73,0,0,0,1.79
5/14/19,47,67,0,0,0,4.92
5/21/19,63,85,0,0,0,5.82
7/7/19,75,93,0.21,0,0,6.04
7/14/19,72,96,0,0,0,3.36
7/17/19,76,98,0.03,0,0,8.95
7/21/19,73,99,0,0,0,9.62
7/30/19,68,94,0,0,0,6.26
8/10/19,71,91,0,0,0,3.58
8/16/19,70,88,0.64,0,0,3.13
9/12/19,71,96,0,0,0,4.03
2/26/20,48,64,0,0,0,6.93
3/22/20,46,58,0.03,0,0,10.96
4/10/20,42,60,0,0,0,8.28
6/21/20,62,89,0,0,0,2.24
6/22/20,70,91,0,0,0,7.83
7/2/20,70,90,0,0,0,5.37
7/17/20,73,95,0.96,0,0,6.26
12/31/20,41,55,0.41,0,0,3.36
2/3/21,31,50,0,0,0,8.05
3/4/21,34,67,0,0,0,4.7
3/10/21,40,76,0,0,0,5.82
3/24/21,55,68,0.07,0,0,4.7
4/7/21,50,86,0,0,0,2.24
5/11/21,52,70,0,0,0,4.7
5/13/21,37,71,0,0,0,4.03
5/14/21,41,73,0,0,0,3.13
1/8/17,15,27,0,0,1.2,4.92
4/7/17,43,59,0,0,0,11.86
4/11/17,55,82,0,0,0,10.51
4/25/17,58,70,2.17,0,0,6.93
5/23/17,67,71,0.69,0,0,4.47
6/4/17,61,90,0.38,0,0,5.82
6/15/17,70,91,0,0,0,3.36
7/2/17,71,92,0,0,0,4.47
7/5/17,70,89,0.47,0,0,2.46
7/20/17,71,99,0,0,0,3.8
9/4/17,59,87,0,0,0,3.58
9/13/17,61,84,0,0,0,6.71
10/23/17,61,76,1.12,0,0,10.74
10/30/17,36,59,0,0,0,6.93
11/26/17,33,62,0,0,0,2.91
12/3/17,42,64,0,0,0,2.46
12/26/17,27,43,0,0,0,2.24
12/28/17,18,30,0,0,0,7.83
12/29/17,15,42,0,0,0,2.01
12/30/17,27,52,0,0,0,4.92
1/17/18,23,38,0.49,5.9,0,5.82
2/20/18,50,72,0,0,0,3.36
7/1/18,73,95,0.48,0,0,5.82
3/10/19,47,68,0.04,0,0,9.4
3/20/19,32,53,0.05,0,0,6.71
6/13/19,61,79,0.35,0,0,7.61
6/27/19,67,93,0,0,0,3.36
8/18/19,70,92,0,0,0,2.91
8/22/19,71,95,0.34,0,0,6.71
12/12/19,28,45,0,0,0,6.93
1/13/20,63,67,0.46,0,0,5.37
1/25/20,39,59,0.55,0,0,5.14
3/27/20,52,81,0,0,0,8.5
5/21/20,59,70,0.67,0,0,12.08
8/1/20,75,94,0,0,0,6.26
11/10/20,54,79,0,0,0,4.03
11/25/20,37,67,0,0,0,6.93
12/12/20,44,65,0,0,0,6.71
3/29/21,43,63,0,0,0,4.7
4/16/21,38,69,0,0,0,4.92
4/19/21,47,66,0.01,0,0,4.7
1/3/17,47,56,0.31,0,0,5.37
4/21/21,42,77,0,0,0,10.74
1/10/17,24,48,0,0,1.2,5.14
5/1/21,49,74,0,0,0,4.25
1/18/17,45,70,0,0,0,6.49
5/5/21,63,85,0,0,0,10.07
3/9/17,37,75,0,0,0,6.04
6/28/21,67,90,0,0,0,4.92
6/8/17,55,73,0,0,0,7.38
7/9/21,70,91,0.52,0,0,6.26
8/17/17,75,94,0.24,0,0,4.92
8/2/21,69,85,0,0,0,7.16
8/25/17,68,85,0,0,0,5.14
8/17/21,73,86,0.08,0,0,6.04
9/14/17,64,83,0,0,0,6.04
9/2/21,58,81,0,0,0,6.71
9/16/17,62,85,0,0,0,3.8
9/26/21,51,78,0,0,0,2.91
9/17/17,63,85,0,0,0,5.59
9/29/21,60,84,0,0,0,4.25
9/23/17,61,87,0,0,0,4.47
10/17/21,45,66,0,0,0,4.25
10/5/17,54,85,0,0,0,3.13
10/24/21,48,78,0,0,0,4.25
11/11/17,28,46,0,0,0,5.14
10/28/21,47,72,0.28,0,0,6.93
